From_Latitud,From_Longitud,From_Location,To_Latitud,To_Longitud,To_Location,Distance,Duration
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",0 km,0 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",60.3 km,47 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",54.7 km,39 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",35.7 km,30 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",50.4 km,39 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",33.9 km,35 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",35.0 km,36 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",56.2 km,43 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",65.3 km,49 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",54.0 km,40 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",0 km,0 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",13.9 km,11 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",20.8 km,18 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",9.6 km,10 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",39.8 km,32 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",31.4 km,31 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",56.7 km,39 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",65.8 km,45 mins
43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",59.5 km,47 mins
43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",5.6 km,8 mins
43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",0 km,0 mins
43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",26.3 km,25 mins
43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",11.0 km,16 mins
43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",45.4 km,39 mins
43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",37.0 km,38 mins
43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",62.3 km,46 mins
43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",71.4 km,53 mins
43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",35.3 km,29 mins
43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",27.0 km,24 mins
43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",21.4 km,17 mins
43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",0 km,0 mins
43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",14.8 km,16 mins
43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",19.3 km,17 mins
43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",19.0 km,18 mins
43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",36.2 km,23 mins
43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",45.2 km,30 mins
43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",50.3 km,38 mins
43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",11.0 km,15 mins
43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",9.2 km,8 mins
43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",16.1 km,18 mins
43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",0 km,0 mins
43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",43.5 km,33 mins
43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",27.8 km,29 mins
43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",51.2 km,39 mins
43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",60.2 km,46 mins
43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",33.9 km,35 mins
43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",50.0 km,39 mins
43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",44.5 km,32 mins
43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",24.0 km,17 mins
43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",37.8 km,31 mins
43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",0 km,0 mins
43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",11.5 km,14 mins
43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",22.7 km,19 mins
43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",31.8 km,26 mins
43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",34.8 km,36 mins
43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",37.5 km,37 mins
43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",31.9 km,30 mins
43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",11.0 km,16 mins
43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",27.5 km,29 mins
43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",11.6 km,15 mins
43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",0 km,0 mins
43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",35.1 km,28 mins
43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",44.1 km,35 mins
43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",56.2 km,42 mins
43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",62.2 km,45 mins
43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",56.6 km,38 mins
43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",36.2 km,23 mins
43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",50.0 km,36 mins
43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",19.8 km,17 mins
43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",34.9 km,27 mins
43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",0 km,0 mins
43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",10.0 km,12 mins
43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",65.5 km,50 mins
43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",71.5 km,53 mins
43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",65.9 km,46 mins
43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",45.5 km,31 mins
43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",59.3 km,44 mins
43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",29.1 km,24 mins
43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",44.2 km,35 mins
43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",12.9 km,12 mins
43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",0 km,0 mins
